epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.425,1.80834,2.82263,1.59859,0.01097,0.92821,0.1832,0.06844,1.67169,3.04063,1.46081,0.00028,0.00028,0.00028
2,238.973,1.62907,1.99486,1.45097,0.02483,0.54872,0.27722,0.11059,1.69909,2.95088,1.46314,0.000568516,0.000568516,0.000568516
3,354.53,1.6475,1.92245,1.45426,0.57744,0.23077,0.26373,0.10358,1.91733,2.79764,1.71665,0.000845152,0.000845152,0.000845152
4,460.392,1.63293,1.81733,1.49791,0.39968,0.26667,0.24309,0.09032,1.88177,2.7502,1.72631,0.00110991,0.00110991,0.00110991
5,570.689,1.67207,1.82586,1.534,0.22977,0.24103,0.12404,0.04621,1.91952,3.06322,1.95295,0.00136278,0.00136278,0.00136278
6,670.123,1.65446,1.8219,1.57109,0.18976,0.12821,0.0908,0.03495,2.22278,3.07598,2.34663,0.00160378,0.00160378,0.00160378
7,781.114,1.69632,1.78515,1.59757,0.35591,0.32308,0.25702,0.09007,2.08678,2.45842,2.11383,0.0017624,0.0017624,0.0017624
8,894.999,1.65159,1.75468,1.53913,0.28695,0.34359,0.25746,0.10218,1.94548,2.63006,1.91979,0.0017228,0.0017228,0.0017228
9,1003.69,1.64893,1.6575,1.51567,0.34792,0.27636,0.29983,0.12131,1.93757,2.36675,1.85482,0.0016832,0.0016832,0.0016832
10,1107.88,1.60198,1.58293,1.5039,0.29775,0.32181,0.22904,0.08859,2.05362,2.60914,1.90918,0.0016436,0.0016436,0.0016436
11,1208.75,1.6145,1.57356,1.49699,0.53402,0.37949,0.37781,0.15759,2.07604,1.99906,1.9023,0.001604,0.001604,0.001604
12,1310.46,1.59511,1.58475,1.50329,0.42406,0.44615,0.3496,0.16331,1.94054,2.04838,1.79453,0.0015644,0.0015644,0.0015644
13,1425.2,1.60748,1.54574,1.48464,0.51567,0.49688,0.46609,0.22147,1.94077,1.90263,1.85863,0.0015248,0.0015248,0.0015248
14,1548.5,1.61829,1.53829,1.4971,0.5098,0.50256,0.47758,0.20343,1.89018,1.86648,1.73574,0.0014852,0.0014852,0.0014852
15,1666.41,1.52786,1.45219,1.40615,0.4928,0.53812,0.52557,0.22236,1.93459,1.98104,1.71182,0.0014456,0.0014456,0.0014456
16,1829.84,1.52523,1.36855,1.42959,0.52126,0.49231,0.45498,0.20104,1.92609,1.91263,1.71329,0.001406,0.001406,0.001406
17,2009.87,1.54848,1.41452,1.47421,0.58404,0.53333,0.50196,0.21546,1.92513,1.89232,1.73811,0.0013664,0.0013664,0.0013664
18,2113.83,1.5295,1.39008,1.44662,0.55083,0.52821,0.51485,0.2263,1.82888,1.83536,1.70487,0.0013268,0.0013268,0.0013268
19,2214.66,1.49858,1.34217,1.4145,0.57554,0.6,0.60343,0.27672,1.75807,1.56518,1.6547,0.0012872,0.0012872,0.0012872
